index,name,price,promotion_price,retailer,image_url
26,Danone Ultra Mel Custard Flavoured Dessert 1kg,R34.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Danone_Ultra_Mel_Custard_Flavoured_Dessert_1kg.jpg?
27,English Cucumber Single,R16.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_English_Cucumber_Single.jpg?
28,Colgate Triple Action Original Mint Fluoride Toothpaste 100ml,R23.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Colgate_Triple_Action_Original_Mint_Fluoride_Toothpaste_100ml.jpg?
29,Bulk Banana Pack 1.2kg,R39.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Bulk_Banana_Pack_1.2kg.jpg?
30,Farmer's Choice Fresh Drum & Thigh Chicken Individually Wrapped 16 Piece Per kg,R69.99 Per Kg,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Farmer_s_Choice_Fresh_Drum___Thigh_Chicken_Individually_Wrapped_16_Piece_Per_kg.jpg?
31,Coca-Cola Original Soft Drink Bottle 440ml,R14.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Coca-Cola_Original_Soft_Drink_Bottle_440ml.jpg?
32,Bananas Bag (Small),R24.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Bananas_Bag__Small_.jpg?
33,B-well Canola Oil 2L,R89.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_B-well_Canola_Oil_2L.jpg?
34,Garbie 20 Pack Super Saver Refuse Bags 750mm x 950mm,R44.99,R29.99,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Garbie_20_Pack_Super_Saver_Refuse_Bags_750mm_x_950mm.jpg?
35,Sunlight Original Dishwashing Liquid 750ml,R36.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Sunlight_Original_Dishwashing_Liquid_750ml.jpg?
36,Albany Superior Thick Slice White Bread 700g,R19.99,R17.99,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Albany_Superior_Thick_Slice_White_Bread_700g.jpg?
